.	点
-	破折号
-	连字号
_	下划线
!	感叹号
#	星号
￥	元
%	百分比号
&	和号
'	单括号
*	星号
+	加号
/	斜线号
=	等号
？	问号
^	抑扬符
`	右单引号
{	大括号
|	竖线
}	右大括号
~	波浪字符
,	逗号
